long;lat;Name
-84.13922222222223;9.91861111111111;PTZ 111 - La Merced
-84.13563888888889;9.914;PTZ 112 - Parqueo entrada oeste
-84.13197222222222;9.936916666666667;PTZ 113 - Rotonda EPA
-84.14350032077029;9.896522453015246;PTZ 114 - Florecilla 3
-84.15741666666668;9.936694444444445;PTZ 115 - Calle Miravalles
-84.14420646822562;9.917526694134526;PTZ 116 - Area Caninos CC Oeste
-84.13863888888889;9.908944444444446;PTZ 118 - MaxiPali
-84.15672222222223;9.909777777777778;PTZ 119 - Ultima Parada Corazón de Jesús
-84.13993995595712;9.921228991647547;PTZ 120 - Anexo Municipal Escazú Centro
-84.15425;9.944027777777778;PTZ 121 - Cruce quintanar atrás de plaza roble
-84.1542594422307;9.93605945453821;PTZ 122 - 200 metros al oeste de McDonald's Guachipelin
-84.13206703138715;9.93766269886651;PTZ 123 - Puente Hamaca
-84.15422222222223;9.932722222222221;PTZ 124 - Fernandez Aguilar 2
-84.13466666666667;9.915916666666668;PTZ 125 - Parque Infantil - Calle Profesores
-84.13041666666666;9.884638888888889;PTZ 126 - Toma AyA Rio Agress
-84.14175;9.898138888888889;PTZ 127 - Florecilla 1
-84.1496388888889;9.912527777777779;PTZ 128 - Corazon de Jesus
-84.13652777777779;9.908444444444445;PTZ 129 - Bambus Río Chiquero
-84.14315418660523;9.924723230935294;PTZ 130 - Violeta 500 m norte
-84.14333333333335;9.919694444444444;PTZ 131 - Iglesia Mormones
-84.14669444444445;9.916638888888889;PTZ 132 - Calle Guachimanes - Entrada
-84.13823878137758;9.921014884604629;PTZ 133 - Frente al Banco Popular
-84.1211111111111;9.92025;PTZ 134 - Límite de Escazú - Alajuelita
-84.1378888888889;9.90413888888889;PTZ 135 - Plaza España
-84.14072222222222;9.902444444444445;PTZ 136 - Colegio técnico
-84.15741666666668;9.901916666666667;PTZ 137 - Iglesia bebedero
-84.14825;9.904277777777779;PTZ 138 - Cuesta grande
-84.1408888888889;9.909;PTZ 139 - Piedras amarillas 400 m al norte
-84.12897222222222;9.889999999999999;PTZ 140 - Puente Río Agres
-84.13427777777778;9.904055555555557;PTZ 141 - Escuela Juan XXIII
-84.12797222222221;9.904388888888889;PTZ 142 - Esquina Tapachula
